Date,Comparison_Type
20151209,4.4
20151210,7.7
20151211,26.4
20151212,7.7
20151213,141.9
20151214,141.9
20151215,89.1
20151216,24.2
20151217,74.8
20151218,35.2
20151219,2.2
20151220,18.7
20151221,108.9
20151222,23.1
20151223,79.2
20151224,107.8
20151225,136.4
20151226,28.6
20151227,212.3
20151228,25.3
20151229,25.3
20151230,97.9
20151231,366.3
20160101,111.1
20160102,155.1
20160103,77
20160104,12.1
20160105,57.2
20160106,41.8
20160107,36.3
20160108,67.1
20160109,44
20160110,85.8
20160111,72.6
20160112,270.6
20160113,33
20160114,26.4
20160115,60.5
20160116,70.4
20160117,125.4
20160118,184.8
20160119,133.1
20160120,108.9
20160121,51.7
20160122,19.8
20160123,47.3
20160124,15.4
20160125,73.7
20160126,112.2
20160127,162.8
20160128,200.2
20160129,66
20160130,121
20160201,235.4
20160202,75.9
20160203,165
20160204,413.6
20160205,348.7
20160206,490.6
20160207,314.6
20160208,78.1
20160209,105.6
20160211,106.7
20160212,262.9
20160213,507.1
20160214,489.5
20160215,238.7
20160216,88
20160217,55
20160218,117.7
20160219,751.3
20160220,254.1
20160221,316.8
20160222,288.2
20160223,311.3
20160224,272.8
20160225,62.7
20160226,67.1
20160227,105.6
20160228,100.1
20160229,155.1
20160301,609.4
20160302,547.8
20160303,267.3
20160304,88
20160305,35.2
20160306,82.5
20160307,267.3
20160308,349.8
20160309,580.8
20160310,283.8
20160311,214.5
20160312,177.1
20160313,56.1
20160314,27.5
20160315,119.9
20160316,212.3
20160317,775.5
20160318,937.2
20160319,502.7
20160320,1212.2
20160321,272.8
20160322,69.3
